rating,day_of_week,week_of_year,hour,month,yrs_to_review,lenDevResp,lenTitle,lenReview,ratings_per_yr_in_exist,app_rank_in_cat_per_yr_in_exist,BBB_complaints_per_yr_in_exist,BBB_complaints_per_BBB_review,len_review_per_len_title,Dev_resp_per_yr,DevLen_per_ReviewLen,ReviewLen_by_time_of_day,ReviewLen_by_day_of_week
5,7,20,4,5,7,0,8,471,94214.0,4.0,91.0,3.0,59.0,0.0,0.0,118.0,67.0
5,5,16,10,4,7,0,35,475,94214.0,4.0,91.0,3.0,14.0,0.0,0.0,48.0,95.0
5,4,14,19,4,7,0,85,420,94214.0,4.0,91.0,3.0,5.0,0.0,0.0,22.0,105.0
5,4,8,18,2,6,0,17,503,109917.0,5.0,106.0,3.0,30.0,0.0,0.0,28.0,126.0
5,7,1,6,1,9,0,13,456,73278.0,3.0,71.0,3.0,35.0,0.0,0.0,76.0,65.0
5,7,2,18,1,8,0,9,485,82438.0,4.0,80.0,3.0,54.0,0.0,0.0,27.0,69.0
5,1,12,13,3,9,0,19,484,73278.0,3.0,71.0,3.0,25.0,0.0,0.0,37.0,484.0
5,1,18,1,4,8,0,9,486,82438.0,4.0,80.0,3.0,54.0,0.0,0.0,486.0,486.0
5,2,34,4,8,7,259,22,459,94214.0,4.0,91.0,3.0,21.0,37.0,1.0,115.0,230.0
5,3,22,6,5,7,0,20,504,94214.0,4.0,91.0,3.0,25.0,0.0,0.0,84.0,168.0
1,7,24,12,6,8,0,21,699,82438.0,4.0,80.0,3.0,33.0,0.0,0.0,58.0,100.0
1,6,19,19,5,8,0,18,694,82438.0,4.0,80.0,3.0,39.0,0.0,0.0,37.0,116.0
